ID,Year,Age,Length,Month,Latitude,Longitude,Depth,Assignment
1,2015,3,730,May,38.0362,-123.1722,25.6032,Central Valley
2,2015,3,680,May,37.87716667,-123.1887167,25.6032,Central Valley
3,2015,4,940,May,37.87975,-123.18855,58.5216,Central Valley
4,2015,3,690,May,37.87316667,-123.1548167,21.9456,Central Valley
5,2015,3,720,May,37.8639,-123.17805,21.9456,Central Valley
6,2015,3,840,May,37.90958333,-123.1207167,25.6032,Central Valley
7,2015,3,770,May,38.27391667,-123.1664,54.864,Central Valley
8,2015,3,790,May,38.24886667,-123.1515333,43.8912,Central Valley
9,2015,3,690,May,38.25573333,-123.1274833,64.008,Central Valley
10,2015,2,690,May,38.25726667,-123.1154167,54.864,Central Valley
11,2015,5,880,May,39.06873333,-123.9230667,65.8368,Rogue River
12,2015,4,810,May,39.4339,-123.8962833,21.9456,Central Valley
13,2015,4,740,May,39.43476667,-123.9010833,10.9728,Central Valley
14,2015,3,660,May,39.43546667,-123.93105,32.9184,Central Valley
15,2015,4,720,May,39.43745,-123.9456833,38.4048,Rogue River
16,2015,4,810,May,39.43695,-123.9197,32.9184,Central Valley
17,2015,3,680,May,39.43573333,-123.9223,32.9184,Central Valley
18,2015,3,680,May,39.43848333,-123.9440833,32.9184,KlamathR
19,2015,4,810,May,39.43578333,-123.9299167,32.9184,Central Valley
20,2015,4,780,May,39.43588333,-123.9323167,43.8912,Rogue River
21,2015,3,710,May,39.43425,-123.9204,43.8912,KlamathR
22,2015,3,710,May,39.4346,-123.9040667,32.9184,Central Valley
23,2015,3,765,May,38.94756667,-123.7881333,43.8912,Rogue River
24,2015,3,690,May,38.9563,-123.7928167,54.864,Central Valley
25,2015,4,710,May,38.96458333,-123.7885667,54.864,Central Valley
26,2015,4,850,May,38.96405,-123.7890167,32.9184,Central Valley
27,2015,4,810,May,38.99695,-123.7988833,54.864,Central Valley
28,2015,4,790,May,38.99646667,-123.79895,60.3504,Central Valley
29,2015,4,790,May,38.98245,-123.79735,60.3504,Central Valley
30,2015,4,820,May,38.97913333,-123.8048167,32.9184,NCaliforniaSOregonCoast
31,2015,4,765,May,38.98285,-123.8139167,54.864,Central Valley
32,2015,4,NA,May,37.89421667,-123.1549,NA,Central Valley
33,2015,3,720,May,38.00566667,-123.1489833,47.5488,KlamathR
34,2015,4,820,May,37.99573333,-123.1352667,58.5216,Central Valley
35,2015,3,740,May,38.0048,-123.1438667,36.576,Central Valley
36,2015,4,920,May,38.019,-123.15585,43.8912,NCaliforniaSOregonCoast
37,2015,3,680,May,38.02881667,-123.1642667,36.576,Central Valley
38,2015,4,840,May,38.03325,-123.1678333,36.576,Central Valley
39,2015,4,910,May,38.03328333,-123.1678667,51.2064,Central Valley
40,2015,3,770,May,38.02148333,-123.1561333,36.576,Central Valley
41,2015,4,770,May,38.00381667,-123.1429667,25.6032,Central Valley
42,2015,3,690,May,38.00615,-123.1458167,25.6032,Central Valley
43,2015,3,680,May,38.01881667,-123.1561667,25.6032,Central Valley
44,2015,3,720,May,37.99675,-123.1283167,43.8912,Central Valley
45,2015,3,650,May,37.64541667,-122.9129,60.3504,Central Valley
46,2015,4,700,May,39.51995,-123.9046833,43.8912,Rogue River
47,2015,4,710,May,39.51726667,-123.90445,54.864,Rogue River
48,2015,3,690,May,39.50998333,-123.9121333,36.576,Central Valley
49,2015,3,660,May,39.5087,-123.9124667,43.8912,Central Valley
50,2015,3,680,May,39.47788333,-123.9125833,21.9456,KlamathR
51,2015,3,690,May,39.51246667,-123.903,32.9184,Rogue River
52,2015,4,760,May,39.51703333,-123.9016833,38.4048,California Coast
53,2015,3,730,May,39.50543333,-123.90035,38.4048,Central Valley
54,2015,3,720,May,38.95601667,-123.7875167,32.9184,Central Valley
55,2015,3,765,May,38.98043333,-123.8199333,82.296,Central Valley
56,2015,4,750,May,38.90403333,-123.7767,82.296,Columbia
57,2015,3,690,May,38.91048333,-123.7799667,76.8096,Central Valley
58,2015,4,820,May,38.91858333,-123.7868667,38.4048,Central Valley
59,2015,4,835,May,38.91231667,-123.7839667,43.8912,Columbia
60,2015,4,790,May,38.89966667,-123.7775167,49.3776,Central Valley
61,2015,4,760,May,38.90606667,-123.7788333,54.864,Central Valley
62,2015,4,900,May,38.92845,-123.7882167,49.3776,NCaliforniaSOregonCoast
63,2015,4,760,May,38.91616667,-123.7858667,65.8368,KlamathR
64,2015,4,765,May,38.90521667,-123.7772333,82.296,Central Valley
65,2015,4,860,May,39.85391667,-124.0465333,47.5488,Central Valley
